target	EEBR-OA.Prd	EEBR-OB.Prd	EEMAC-CN.Prd	EEMAC-CPL.Prd	EEMAC-N.Prd	GL-CN.Prd	GL-F.Prd	GL-NP.Prd	L-CN.Prd	L-RA.Prd	M-CN.Prd	M-RA.Prd	P-CN.Prd	P-RA.Prd	PP-CN.Prd	PP-PP.Prd	SA-CN.Prd	SA-RA.Prd	SUL-CN.Prd	SUL-F.Prd	SUL-LM.Prd	T-CN.Prd	T-NP.Prd	TT-CN.Prd	TT-LP.Prd
k117_304881_1_SA-RA	0.01252740484812103	0.01672042858301214	0.10023278673812061	0.04630536430853	0.008375646758191765	0.10854333978512105	0.16246129627677344	0.150282326660666	0.09205382388676027	0.07089851936047309	0.029261688842346444	0.03754378179377015	0.0792364621201725	0.07926842255777564	0.1545389536486223	0.054254737410745726	0.1751396505602343	0.19655480119512392	0	0	0	0.05863025258670987	0.037485187851721516	0.00441896365079523	0.050459612526127434
k117_317012_1_SA-RA	0	0	0.046291137680492644	0.015553088977322025	0.00928362616339397	0.11414045209875136	0.04309445322159022	0.1634892912086473	0.021643386991879073	0.040062645895780076	0.02780045406450487	0.17262018059751152	0.006163246005621243	0.05549158784552248	0	0	0.036976386401465396	0.24722012276095418	0	0	0	0	0	0	0
k117_465406_1_SA-RA	0	0	0.030418517055260382	0	0	0.030406701224252704	0.09969068439956655	0.07384069321385094	0.017414883703301007	0.013018199816601433	0.013048603569217238	0.086809436615571	0.00433923239025047	0.06945572227393884	0	0	0.06942191756370658	0.36986748895934035	0	0	0	0.008714955213155805	0	0	0
k117_45204_3_SUL-CN	0.7243099373136643	0.657609609668829	0.138142892672285	0	0	0.19534574306181396	0.3192677400509118	0.2963699775369226	0.15865842417373327	0.003364607198976699	0.09442902486322427	0.12788665553583756	0.24897131931886396	0.010097503102325349	0.5357713586932847	0.5218817829346538	0.30614185295190716	0.27328572266075046	0.708666461076614	0.693549185400341	0.6083399343490755	0.18920294071459998	0.24865375817046403	0.4705876073339616	0.5834951329309519
k117_121991_2_SUL-CN	0.5471901456865609	0.4695037158751994	0.2839189777736883	0.03317992315162032	0.008252112145239085	0.4812408250650058	0.6402604478636263	0.6580701029782031	0.5647893367404635	0.008217978645288221	0.45304443660674604	0.4397704600936604	0.4725155270976287	0.1356461036223883	0.33744023459526973	0.6044472651220318	0.5382118465102186	0.4779589040045115	0.5646037974342379	0.44816422574069636	0.3901411790367434	0.4951328537031883	0.6442636121168709	0.3874870604234189	0.5634408651393344
k117_225663_1_SUL-CN	0.3486794349393687	0.7686283187315782	0.25968999932815384	0.007478719380584634	0	0.2855480372947774	0.15911546216087155	0.08528877315360787	0.3196511166976913	0	0.08540588665915859	0.0074111247748931625	0.16299818691462142	0	0.022261074116722193	0.09268147655068062	0.11853423158483943	0.01857438422339616	0.41986872317738294	0.27802497168302764	0.28065129801406746	0.472450238264259	0.3625783595634009	0.3572073968145485	0.21291004061888613
k117_401854_1_SUL-CN	0.742580093522751	0.733815669450352	0.0999762181713848	0.0047986322305457714	0	0.12849092126309028	0.32290373335416805	0.15703562802937623	0.19556082288322915	0.004754086622444892	0.0762430351894195	0.08083943611112132	0.19015612249425268	0.014267461721374384	0.5237303899133274	0.5233182075271194	0.22341477608439445	0.24789512650910697	0.8439730364825633	0.6184236912794716	0.5762451224753002	0.11934729622111834	0.1519308637691314	0.6347019326964726	0.4889243684698832
k117_499159_3_SUL-CN	0.7845287286135795	0.6380868243817857	0.029968689654610605	0	0	0.07080756931295007	0.34239889786216615	0.1307143153767251	0.15012684169032192	0	0.059992993753783946	0.04081908567421624	0.11698129820825634	0	0.47136665011215656	0.5063884175037812	0.2230619768202984	0.15277431023743343	0.7285581591749141	0.6533586834551149	0.5633490117428208	0.12840090752039224	0.1141150640590168	0.614011546962645	0.3456286350178299
k117_533783_2_SUL-CN	0.21214153323171944	0.33887276375764896	0.09028519625278393	0.009100318728478388	0	0.04061255655888398	0.05403243510723657	0	0.06784196199951	0	0.03162913939593434	0	0.04056971642535148	0	0	0.009022196811147161	0.01352210894293071	0.027122207642706623	0.2938852591704682	0.16238817763544602	0.14115519006049493	0.08600730072012502	0.045019966711524584	0.15284751941650299	0.07726798271935047
k117_182342_1_SUL-F	0.7272205847098167	0.6013668501827175	0.10189491733264443	0	0	0.08780632505384237	0.23831434224879403	0.12292194225183216	0.10208762745215937	0	0.09143882904171878	0.07019100542468082	0.09473079880680307	0	0.4251846465215754	0.4845396932253618	0.24206959258793087	0.09851441667703514	0.6193627566257214	0.6811168273533758	0.6237575246810723	0.12331551866474243	0.1366588460555624	0.5502221944234504	0.33607966109446336
k117_212815_3_SUL-F	0.02490567392424062	0.04986270666719692	0	0	0	0	0	0	0	0	0	0	0.009949239980502863	0	0.034875682782864764	0.06471815105424669	0	0	0.0798334462274063	0.2538765169997018	0.24119974412180428	0	0	0.04216953883901734	0.005015925768966239
k117_242900_3_SUL-F	1.2262878432189661	0.8371018805738738	0.4728495871544108	0.035745743480082484	0.00889025217341965	0.6794572492090125	1.8836084647526428	1.1786443352613178	0.7609510915631479	0.005902319408374379	0.7069744471940519	0.41031252673200874	0.7938313086138515	0.023617888612218613	1.2561156934506377	0.8180475547208889	1.3927772211218634	0.9617753186860216	1.207650012846782	1.2402741109656419	1.1029437451897475	0.646032982951501	0.7780823738261291	0.8442841992133768	1.7406962732132838
k117_14072_1_SUL-LM	0.10611982802502523	0.2086645876833784	0.06822911162472611	0	0	0.01894516904694316	0.04536962621776114	0.007577641471114498	0.041774425513828706	0	0.034146209883576625	0.02271670854912904	0.07948577593119135	0.007573127326744011	0.12509755780810186	0.14772621436295438	0.06434025206269477	0.026569445258684068	0.1670428086823447	0.18937932853771447	0.1873449099496804	0	0	0.10427793571604829	0.1793738671728144
k117_43465_4_SUL-LM	0.046071757169165825	0.07966054038122751	0.07540033957327091	0.008444439901200668	0.02520239655167612	0.24286227515793085	0.12534551387489565	0.13817248952734906	0.11751124228623834	0.04183025166295356	0.14674780890906475	0.10460146078678038	0.09202300042026673	0.09206011837435363	0.35608805243765823	0.17162494204267775	0.1380229678589234	0.06711321050327405	0.07971357618802583	0.14649884393788362	0.291540231258337	0.07140767357085771	0.0710179835242158	0.057619039554813484	0.23196773826450476
k117_68313_3_SUL-LM	0.036791115437247536	0.01674047705853134	0.02341569298498461	0	0	0.12372058596795114	0.15681715728665005	0.20396030664697634	0.07373136013951542	0.013361605567159268	0.11718709920076395	0.07350698337879646	0.03674299657068204	0.030074577585343126	0.2609403603897795	0.12033922940911394	0.07347985339252038	0.0703421284546456	0.06700648963930986	0.08022053859209086	0.22943860551954204	0.03689749023699419	0.033360119217892316	0.0637093752244147	0.09767222360672868
k117_115513_1_SUL-LM	0.2603473114213953	0.2829542394341201	0.007439500171229396	0	0.001864977344824033	0	0.0018551136053484556	0	0.0037267851125064155	0	0.005584802327624978	0.0037154438871464385	0.020429106093299215	0	0.2548249888667985	0.30108875198160306	0.02228443553794981	0.0018623915914658547	0.6203058771869471	0.7099250263604733	0.6021953611574379	0.031705007065460825	0.01854822628514813	0.31486588999799614	0.21160518844012238
k117_168302_2_SUL-LM	0.20078198824272128	0.14715266646257602	0.08964693329726939	0	0	0.017922422131812554	0.09657082392880778	0.014337131420926144	0.050297228382155994	0	0.09331931909913203	0.07521624835804167	0.03938773668373884	0.01074644289039253	0.27255032303318477	0.14333464342645105	0.20050263337486976	0.1579920887361779	0.35555641539583915	0.36547776226178147	0.37616412536562444	0.010787277468212135	0.02503295321260351	0.29973978120792527	0.22023653504869758
k117_206148_1_SUL-LM	0.5192911332933491	0.5777801934820354	0.0859753557524152	0.003537105015219902	0	0.2332710324109651	0.33252036322283646	0.1666127961195993	0.12481214291884694	0.0017521350696557906	0.06498040444091957	0.031546221683318824	0.16119020245141746	0.003505548246845027	0.2719864569229705	0.27001902984606846	0.31534578591438417	0.09839049917178101	0.2512996216152004	0.3804547335775529	0.27078084481598785	0.2674340218618227	0.2607250675931199	0.23020855164947834	0.4628532256746708
k117_256666_1_SUL-LM	0.016360325393049557	0.024565790968003175	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01635107809175644	0	0	0.028679170565563853	0.09401211945708007	0.19392648048893843	0	0	0.0043282517869959155	0
k117_275499_2_SUL-LM	0.1049787546054013	0.12009942251023774	0.04499697684211328	0	0	0	0.08976356154911883	0.05996929164236849	0	0	0.030025818965725686	0	0.02995470101656776	0	0.09000176202029615	0.029976976501553468	0.08985659491108794	0.07509643513975221	0.18026907212640134	0.37468598334343506	0.22693524312535346	0.045120977797145384	0.05983298801660685	0.15870256552318351	0.15101711992586525
k117_369394_2_SUL-LM	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.03232073873710327	0.21614759678548162	0	0	0	0
k117_480847_2_SUL-LM	0.1162264783131229	0.1264633864747748	0.015162024805494693	0	0	0.010104090158369687	0.005041069579751239	0	0.030381400373693607	0	0.14164353729483642	0.10096314910724019	0.06560730711780874	0.010097503102325349	0.1819600840845118	0.15151406601328657	0.08578700275025969	0.086034394170977	0.4555712964063947	0.45956050391818715	0.4486082197434524	0.035475551383987496	0	0.3048124274776797	0.20354481381312275
k117_531081_2_SUL-LM	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.18483011695650728	0.030780775556011532	0	0	0.10136581106161212	0.34296178210388367	0.6391412777991028	0	0	0.027935656644143977	0
k117_548052_1_SUL-LM	0.017176326844303876	0.02407165149450886	0.003435729758880571	0	0	0.0068687903539655995	0.017134670000139678	0.01717101023011167	0.0034422276285465663	0.0034309048777742693	0	0.006863504717635047	0	0.0034321562268987637	0.0893367243698999	0.04806653128697368	0.02401340036417006	0	0.02408767774102777	0.0617955010952621	0.24951697667772854	0.006890395624194615	0.02398477536872603	0.04362366086794897	0.05534814641617919
k117_61129_1_T-CN	0.11010929524401115	0.5388671457367246	0.122360200184694	0	0	0.17735337199033108	0.05492112647413191	0.042807027257874886	0.09807329243437934	0	0.01837106028824006	0	0.12829283132753694	0	0	0.030568627353557812	0.024434688089857246	0.02450515251928756	0.20220971577336463	0.09781276196754936	0.1666182442946674	0.21472044258729273	0.1586361458598195	0.11652109416044264	0.09855854142530153
