target	L-CN	L-RA	M-CN	M-RA	P-CN	P-RA	SA-CN	SA-RA
narI	18.08355842785615	7.824306162547447	15.61088960262943	15.145366431377461	15.50103252342953	7.33970751858932	18.710726476057616	14.79895103391342
narJ	30.929241014194666	14.717948518195065	24.81563352452348	20.060610432007756	26.00550920587011	11.040220887967445	20.636850210520457	14.027257362515199
narY	18.387369656148945	12.475887468447683	16.48388727699212	17.47358828182884	15.859675457844432	16.21459367909505	18.05908960034799	17.479644297644704
narZ	7.883084561735461	4.955936605770145	8.2420579718719	6.845842175599459	7.145818741667392	3.643760512614824	7.642933414566367	6.170635009074755
nasA	108.29594582412854	65.79221561141786	98.59480318968336	73.52434884185105	98.6453414786706	54.0526550710603	92.16301436287186	71.92660310655519
nasB	349.7629409689836	204.63431621399567	290.11336601319897	251.4477765030117	308.76203860856987	172.68523589909591	322.64998473978056	274.02427749142913
nifD	3.5222625853176868	0.9459958246380007	1.4203309486065294	0.8959959467240372	2.329982046082095	1.232987393511866	2.7343408442339836	1.8962783529086067
nifH	773.0732162472257	503.083435886407	702.2668808413256	595.9812417743424	682.7423657614175	396.4039783867835	729.6990364240773	595.897441964884
nifK	2.3329568238501466	0.80588272794679	1.2717350044283233	2.0987152097686823	1.4979758142581285	1.0249034208935508	2.0884617916091868	1.7090722143580257
nifW	62.575395160978914	42.92860955548921	55.890819126149836	52.68019077895629	53.594251270745744	40.266007232037694	52.1471234795022	46.20227561312441
nirA	236.39184426325625	172.3233546661516	214.65558418897027	204.6681472422946	219.11453015121842	155.171027637409	221.33339076918386	197.35116939155455
nirB	228.1572025097116	124.91318274502898	186.21149460812236	178.39456522639162	208.2898336468584	111.29649001541452	207.2702029795554	174.53016725702076
nirD	314.4193630158673	187.74980533438796	286.3377058156529	233.540101712908	279.36707816115097	149.55966588769923	271.0212925123626	220.01344517664614
nirK	3731.6555612814286	2382.6612966297425	3267.8408325283294	2875.3114400066956	3345.7623814136186	1964.4805966663084	3364.7682254162773	2780.7164143199416
nirS	1510.0276709111652	984.7780471423009	1363.5715537636281	1193.891575018268	1376.3871681907626	858.9607515094896	1469.6339110990546	1257.1186204330888
nmo	1756.2564937941213	1079.4311680921644	1516.727001060407	1288.835065537135	1548.1507156472962	866.7695102056636	1514.9904023029742	1231.5530611377537
norB	32.3973321998224	23.801642753836063	30.040017175808085	31.689879226498174	29.02468019411581	22.46018617813765	28.356833594479728	29.531528581575305
norC	7.482752857971437	4.21046631773009	5.481721378382508	4.792052905059356	5.936678328847999	2.7276325047259133	5.183872810362586	4.542953043868872
nosZ	4451.821135856426	2816.594503225351	4055.7786185864993	3324.998730539811	3996.435669075551	2279.078287554006	4041.2938123800636	3269.217436740479
nrfA	3.785496082041038	4.24942020494749	3.6922553293871063	3.106016013917145	3.8048505432850397	2.8894952007946055	3.0129379033855166	1.7665412350976573
nrfB	5.276188932137526	3.5743481811221054	4.070451539716524	5.118275072073776	5.357178759518578	4.0806978276547055	6.197859596980629	5.171669124230033
nrfC	85.50081250462253	51.40932699161192	72.61863648124842	61.15795719899153	75.23959891491785	40.792563566710356	75.60854955249381	63.695311722840046
nrfD	1.00633008567165	2.1157123631171872	1.5812723288116777	1.6793720041409927	0.6556117825943661	0.9443242773591481	0.6299031147153394	0.4905346628420004
nxrA	0.07554294146972465	0.0376472264966582	0.22641090517398563	0.20711089235782512	0	0.09415239379195256	0.15057051039155278	0.0755023618161833
nxrB	0.5069535793429866	3.1776019364782053	1.845051575891544	2.9184346511499712	0.4705706616064064	1.8264876083849857	1.193880509718894	1.5282500747726304
pmoA	0.1798812102254655	1.787882270121031	0.2564542030108278	0.8354751287479488	0.5666415721416072	1.3939718929495897	0.12366642793712956	0.8310329624499797
pmoB	1.4646172487358786	0.9144203784508396	1.1110948754325736	1.1206005726904427	1.3712028273192634	0.8850304285862018	1.5128930093733777	1.2236406940724827
pmoC	0.13317363908580326	1.1081674582946734	0.25490677940765305	0.44809324743021495	0.41400647670331575	1.1018742003363355	0.2203743004860903	0.7144508283714356
ureA	59.97806300041518	28.66157594588123	47.014199128764304	39.63251932162094	50.933642985038865	22.840366211378342	52.12748494848828	37.32390406045138
ureB	599.7475471053178	401.5833075886744	562.7165772754424	484.6804649924897	553.6732349663852	343.5152273952356	595.9311149311455	508.1099095020379
ureC	129.68434843540578	67.01386723666126	107.46236119258747	78.45890072045194	109.87495184446483	53.225896012559296	103.98551516632267	75.35658985497024
