OTU	Kingdom	Phylum	Order	Class	Family	Genus	Species	taxon	taxonomicLevel	trophicMode	guild	trait	growthForm	confidenceRanking	notes	citationSource
ASV429	Ascomycota	Eurotiomycetes	Onygenales	Onygenaceae	Currahomyces	na	na	Onygenaceae	9	Saprotroph	Dung Saprotroph-Soil Saprotroph	NULL	Microfungus	Probable	Generally saprobic and keratinophilic, in soil or coprophilous, occasionally found on hair or horn (Cannon & Kirk 2007)	Cannon PF, Kirk PM. 2007. Fungal Families of the World. CAB International, Cambridge (ISBN: 978-0851998275)
ASV430	Ascomycota	Sordariomycetes	Xylariales	Xylariaceae	Xylaria	na	na	Xylaria	13	Saprotroph-Symbiotroph	Endophyte-Undefined Saprotroph-Wood Saprotroph	Soft Rot	Xylarioid	Probable	NULL	Duncan CG, Eslyn WE. 1966. Mycologia 58:642-645 ((https://doi.org/10.2307/3757045)); Costa IPMW, et al. 2012. Mycotaxon 119:e26 ((http://mycotaxon.com/resources/checklists/costa_v119_checklist.pdf)); The American Phytopathological Society Common Names of Plant Diseases ((http://www.apsnet.org/publications/commonnames/Pages/default.aspx))
ASV431	Chytridiomycota	Spizellomycetes	Spizellomycetales	Spizellomycetaceae	Spizellomyces	na	na	Spizellomyces	13	Pathotroph-Saprotroph	Plant Pathogen-Undefined Parasite-Undefined Saprotroph	NULL	Microfungus	Probable	Pollen degrader; Common in the soil and also as parasites of a range of soil organisms and plants (Cannon & Kirk 2007)	Cannon PF, Kirk PM. 2007. Fungal Families of the World. CAB International, Cambridge (ISBN: 978-0851998275); Tedersoo L, et al. 2014. Science 346:e1256688 ((https://doi.org/10.1126/science.1256688))
ASV432	Basidiomycota	Tremellomycetes	Tremellales	Cryptococcaceae	Cryptococcus	na	na	Cryptococcus	13	Pathotroph-Saprotroph-Symbiotroph	Animal Pathogen-Endophyte-Epiphyte-Undefined Saprotroph	NULL	Dimorphic Yeast	Possible	NULL	Andrews JH, et al. 1983. Phytopathology 73:228-234 ((https://doi.org/10.1094/Phyto-73-228)); Kurtzman CP, et al. (eds.) 2011. The Yeasts, a Taxonomic Study. Fifth Edition. Vols 1-3. Elsevier, San Diego (ISBN: 9780444521491)
ASV433	Ascomycota	Sordariomycetes	Sordariales	Chaetomiaceae	Botryotrichum	na	na	Botryotrichum	13	Saprotroph	Undefined Saprotroph	NULL	NULL	Probable	NULL	Tedersoo L, et al. 2014. Science 346:e1256688 ((https://doi.org/10.1126/science.1256688))
ASV434	Ascomycota	Eurotiomycetes	Onygenales	Gymnoascaceae	Pseudoarachniotus	na	na	Gymnoascaceae	9	Saprotroph	Dung Saprotroph-Plant Saprotroph	NULL	Microfungus	Probable	Keratinophilic or cellulolytic, usually encountered as isolations from soil, dung, etc. (Cannon & Kirk 2007)	Cannon PF, Kirk PM. 2007. Fungal Families of the World. CAB International, Cambridge (ISBN: 978-0851998275)
ASV435	Ascomycota	Orbiliomycetes	Orbiliales	Orbiliales_fam_Incertae_sedis	Orbiliales_gen_Incertae_sedis	na	na	na	na	na	na	na	na	na	na	na
ASV436	Ascomycota	Dothideomycetes	Pleosporales	Cucurbitariaceae	Pyrenochaeta	na	na	Cucurbitariaceae	9	Pathotroph-Saprotroph	Plant Pathogen-Wood Saprotroph	NULL	Microfungus	Probable	Necrotrophic or saprobic on woody plants (Cannon & Kirk 2007)	Cannon PF, Kirk PM. 2007. Fungal Families of the World. CAB International, Cambridge (ISBN: 978-0851998275); Tedersoo L, et al. 2014. Science 346:e1256688 ((https://doi.org/10.1126/science.1256688))
ASV437	Ascomycota	Orbiliomycetes	Orbiliales	Orbiliales_fam_Incertae_sedis	Vermispora	na	na	na	na	na	na	na	na	na	na	na
ASV438	Basidiomycota	Agaricomycetes	Geastrales	Geastrales_fam_Incertae_sedis	Geastrales_gen_Incertae_sedis	na	na	na	na	na	na	na	na	na	na	na
ASV439	Basidiomycota	Agaricomycetes	Thelephorales	Thelephoraceae	Tomentella	na	na	Tomentella	13	Symbiotroph	Ectomycorrhizal	NULL	Corticioid	Highly Probable	NULL	Rinaldi AC, et al. 2008. Fungal Diversity 33:1-45 ((http://www.fungaldiversity.org/fdp/sfdp/33-1.pdf)); Tedersoo L, et al. 2010. Mycorrhiza 20:217-263 ((https://doi.org/10.1007/s00572-009-0274-x)); http://mycorrhizas.info/ecmf.html ((http://mycorrhizas.info/ecmf.html))
ASV440	Ascomycota	Sordariomycetes	Pseudodactylariales	Pseudodactylariaceae	Pseudodactylaria	na	na	na	na	na	na	na	na	na	na	na
ASV441	Basidiomycota	Agaricomycetes	Agaricales	Tricholomataceae	Trogia	na	na	Trogia	13	Saprotroph	Undefined Saprotroph	White Rot	Agaricoid	Probable	NULL	Tedersoo L, et al. 2014. Science 346:e1256688 ((https://doi.org/10.1126/science.1256688))
ASV442	Ascomycota	Dothideomycetes	Pleosporales	Lophiostomataceae	Alpestrisphaeria	na	na	Lophiostomataceae	9	Pathotroph-Saprotroph	Plant Pathogen-Undefined Saprotroph	NULL	Microfungus	Probable	Saprobic or necrotrophic on herbaceous and woody stems (Cannon & Kirk 2007)	Cannon PF, Kirk PM. 2007. Fungal Families of the World. CAB International, Cambridge (ISBN: 978-0851998275)
ASV443	Ascomycota	Sordariomycetes	Xylariales	Microdochiaceae	Gyrothrix	na	na	na	na	na	na	na	na	na	na	na
ASV444	Glomeromycota	Paraglomeromycetes	Paraglomerales	Paraglomeraceae	Paraglomus	na	na	Paraglomus	13	Symbiotroph	Arbuscular Mycorrhizal	NULL	NULL	Highly Probable	NULL	Redecker D, et al. 2013. Mycorrhiza 23:515-531 ((https://doi.org/10.1007/s00572-013-0486-y))
ASV445	Blastocladiomycota	Blastocladiomycota_cls_Incertae_sedis	Blastocladiomycota_ord_Incertae_sedis	Blastocladiomycota_fam_Incertae_sedis	Blastocladiomycota_gen_Incertae_sedis	na	na	na	na	na	na	na	na	na	na	na
ASV446	Ascomycota	Dothideomycetes	Pleosporales	Lophiostomataceae	Lophiostoma	na	na	Lophiostoma	13	Saprotroph	Undefined Saprotroph	NULL	NULL	Probable	NULL	Tedersoo L, et al. 2014. Science 346:e1256688 ((https://doi.org/10.1126/science.1256688))
ASV447	Ascomycota	Sordariomycetes	Savoryellales	Savoryellaceae	Savoryella	na	na	Savoryella	13	Saprotroph	Undefined Saprotroph	NULL	NULL	Probable	NULL	Tedersoo L, et al. 2014. Science 346:e1256688 ((https://doi.org/10.1126/science.1256688))
ASV448	Basidiomycota	Dacrymycetes	Dacrymycetales	Dacrymycetaceae	Calocera	na	na	Calocera	13	Saprotroph	Wood Saprotroph	Brown Rot	Clavarioid	Probable	NULL	Tedersoo L, et al. 2014. Science 346:e1256688 ((https://doi.org/10.1126/science.1256688)); Nagy LG, et al. 2016. Molecular Biology and Evolution 33:959-970 ((https://doi.org/10.1093/molbev/msv337))
ASV449	Basidiomycota	Exobasidiomycetes	Entylomatales	Entylomataceae	Entylomataceae_gen_Incertae_sedis	na	na	na	na	na	na	na	na	na	na	na
ASV450	Ascomycota	Sordariomycetes	Hypocreales	Stachybotryaceae	Sirastachys	na	na	na	na	na	na	na	na	na	na	na
ASV451	Basidiobolomycota	Basidiobolomycota_cls_Incertae_sedis	Basidiobolomycota_ord_Incertae_sedis	Basidiobolomycota_fam_Incertae_sedis	Basidiobolomycota_gen_Incertae_sedis	na	na	na	na	na	na	na	na	na	na	na
ASV452	Ascomycota	Saccharomycetes	Saccharomycetales	Trichomonascaceae	Wickerhamiella	na	na	na	na	na	na	na	na	na	na	na
ASV453	Ascomycota	Sordariomycetes	Hypocreales	Niessliaceae	Eucasphaeria	na	na	Eucasphaeria	13	Saprotroph	Undefined Saprotroph	NULL	NULL	Probable	NULL	Tedersoo L, et al. 2014. Science 346:e1256688 ((https://doi.org/10.1126/science.1256688))
ASV454	Basidiomycota	Tremellomycetes	Cystofilobasidiales	Mrakiaceae	Udeniomyces	na	na	na	na	na	na	na	na	na	na	na
ASV455	Chytridiomycota	Chytridiomycetes	Chytridiales	Chytriomycetaceae	Chytriomyces	na	na	Chytriomyces	13	Saprotroph	Undefined Saprotroph	NULL	Microfungus	Probable	NULL	Karling JS. 1945. American Journal of Botany 32362-369 ((http://doi.org/10.1002/j.1537-2197.1945.tb05132.x))
ASV456	Glomeromycota	Archaeosporomycetes	Archaeosporales	Archaeosporaceae	Archaeosporaceae_gen_Incertae_sedis	na	na	Archaeosporaceae	9	Symbiotroph	Arbuscular Mycorrhizal	NULL	NULL	Highly Probable	NULL	Cannon PF, Kirk PM. 2007. Fungal Families of the World. CAB International, Cambridge (ISBN: 978-0851998275); Redecker D, et al. 2013. Mycorrhiza 23:515-531 ((https://doi.org/10.1007/s00572-013-0486-y))
ASV457	Ascomycota	Sordariomycetes	Hypocreales	Stachybotryaceae	Dimorphiseta	na	na	na	na	na	na	na	na	na	na	na
ASV458	Ascomycota	Sordariomycetes	Thyridiales	Thyridiaceae	Thyridium	na	na	Thyridium	13	Saprotroph	Wood Saprotroph	NULL	Microfungus	Probable	NULL	Tedersoo L, et al. 2014. Science 346:e1256688 ((https://doi.org/10.1126/science.1256688))
ASV459	Ascomycota	Eurotiomycetes	Sclerococcales	Sclerococcales_fam_Incertae_sedis	Sclerococcales_gen_Incertae_sedis	na	na	na	na	na	na	na	na	na	na	na
ASV460	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Paecilomyces	na	na	na	na	na	na	na	na	na	na	na
ASV461	Basidiomycota	Agaricomycetes	Agaricales	Nidulariaceae	Cyathus	na	na	Cyathus	13	Saprotroph	Undefined Saprotroph	NULL	Gasteroid	Probable	Common name - birds nest fungus	Tedersoo L, et al. 2014. Science 346:e1256688 ((https://doi.org/10.1126/science.1256688))
ASV462	Basidiomycota	Agaricomycetes	Gomphales	Gomphales_fam_Incertae_sedis	Gomphales_gen_Incertae_sedis	na	na	na	na	na	na	na	na	na	na	na
ASV463	Ascomycota	Sordariomycetes	Magnaporthales	Magnaporthaceae	Mycoleptodiscus	na	na	Mycoleptodiscus	13	Pathotroph	Plant Pathogen	NULL	NULL	Probable	NULL	Tedersoo L, et al. 2014. Science 346:e1256688 ((https://doi.org/10.1126/science.1256688))
ASV464	Ascomycota	Sordariomycetes	Hypocreales	Hypocreaceae	Kiflimonium	na	na	na	na	na	na	na	na	na	na	na
ASV465	Ascomycota	Leotiomycetes	Rhytismatales	Rhytismatales_fam_Incertae_sedis	Karstenia	na	na	na	na	na	na	na	na	na	na	na
ASV466	Ascomycota	Dothideomycetes	Pleosporales	Pleomassariaceae	Tumularia	na	na	Tumularia	13	Saprotroph	Undefined Saprotroph	NULL	NULL	Probable	NULL	Tedersoo L, et al. 2014. Science 346:e1256688 ((https://doi.org/10.1126/science.1256688))
ASV467	Basidiomycota	Agaricomycetes	Agaricales	Marasmiaceae	Marasmius	na	na	Marasmius	13	Pathotroph-Saprotroph-Symbiotroph	Endophyte-Plant Pathogen-Undefined Saprotroph	NULL	Agaricoid	Probable	Often one of the most prominent fungal components of tropical forests, playing a major role in nutrient cycling (Cannon & Kirk 2007)	Cannon PF, Kirk PM. 2007. Fungal Families of the World. CAB International, Cambridge (ISBN: 978-0851998275); Tedersoo L, et al. 2014. Science 346:e1256688 ((https://doi.org/10.1126/science.1256688)); David AS, et al. 2016. Microbial Ecology 71:912-926 ((https://doi.org/10.1007/s00248-015-0712-6))
ASV468	Glomeromycota	Glomeromycetes	Glomerales	Glomeraceae	Septoglomus	na	na	Septoglomus	13	Symbiotroph	Arbuscular Mycorrhizal	NULL	NULL	Highly Probable	NULL	Redecker D, et al. 2013. Mycorrhiza 23:515-531 ((https://doi.org/10.1007/s00572-013-0486-y))
ASV469	Ascomycota	Sordariomycetes	Xylariales	Xylariales_fam_Incertae_sedis	Xenoanthostomella	na	na	na	na	na	na	na	na	na	na	na
ASV470	Basidiomycota	Agaricomycetes	Auriculariales	Auriculariaceae	Auricularia	na	na	Auricularia	13	Saprotroph	Undefined Saprotroph	NULL	NULL	Probable	NULL	Tedersoo L, et al. 2014. Science 346:e1256688 ((https://doi.org/10.1126/science.1256688))
ASV471	Basidiomycota	Cystobasidiomycetes	Sakaguchiales	Sakaguchiaceae	Sakaguchia	na	na	Sakaguchia	13	Saprotroph	Undefined Saprotroph	NULL	Yeast	Probable	Isolated from marine samples (Fell et al. 1973; Rhodosporidium dacryoideum)	Fell JW, et al. 1973. Canadian Journal of Microbiology 19:643-657 ((https://doi.org/10.1139/m73-106)); Yamada Y, et al. 1994. Bioscience, Biotechnology, and Biochemistry, 58:99-103 ((https://doi.org/10.1271/bbb.58.99))
ASV472	Ascomycota	Sordariomycetes	Chaetosphaeriales	Chaetosphaeriales_fam_Incertae_sedis	Dendrophoma	na	na	Dendrophoma	13	Pathotroph	Plant Pathogen	NULL	NULL	Probable	NULL	The American Phytopathological Society Common Names of Plant Diseases ((http://www.apsnet.org/publications/commonnames/Pages/default.aspx))
ASV473	Ascomycota	Dothideomycetes	Pleosporales	Phaeosphaeriaceae	Parastagonospora	na	na	Phaeosphaeriaceae	9	Pathotroph-Saprotroph	Fungal Parasite-Plant Pathogen-Plant Saprotroph	NULL	Microfungus	Probable	Necrotrophic or saprobic on a wide range of plants, especially monocotyledons; a few species parasitic on other fungi (Cannon & Kirk 2007)	Cannon PF, Kirk PM. 2007. Fungal Families of the World. CAB International, Cambridge (ISBN: 978-0851998275)
ASV474	Basidiomycota	Agaricomycetes	Agaricales	Marasmiaceae	Moniliophthora	na	na	Moniliophthora	13	Pathotroph-Saprotroph	Plant Pathogen-Undefined Saprotroph	NULL	NULL	Possible	Speices in this genus cause of witches broom or frosty pod rot of cacao (Basso et al. 2016)	Basso TS, et al. 2016. Mycologia 108:869-881 ((https://doi.org/10.3852/14-234)) (as Plant Pathogen); Tedersoo L, et al. 2014. Science 346:1256688 ((https://doi.org/10.1126/science.1256688)) (as saprotroph)
ASV475	Ascomycota	Sordariomycetes	Myrmecridiales	Xenodactylariaceae	Xenodactylariaceae_gen_Incertae_sedis	na	na	na	na	na	na	na	na	na	na	na
ASV476	Glomeromycota	Glomeromycetes	Glomerales	Glomeraceae	Nanoglomus	na	na	Glomeraceae	9	Symbiotroph	Arbuscular Mycorrhizal	NULL	Microfungus	Highly Probable	NULL	Redecker D, et al. 2013. Mycorrhiza 23:515-531 ((https://doi.org/10.1007/s00572-013-0486-y))
ASV477	Basidiomycota	Agaricomycetes	Auriculariales	Auriculariales_fam_Incertae_sedis	Oliveonia	na	na	Oliveonia	13	Saprotroph	Undefined Saprotroph	NULL	NULL	Probable	NULL	Tedersoo L, et al. 2014. Science 346:e1256688 ((https://doi.org/10.1126/science.1256688))
ASV478	Basidiomycota	Wallemiomycetes	Wallemiales	Wallemiaceae	Wallemia	na	na	Wallemia	13	Saprotroph	Undefined Saprotroph	NULL	NULL	Probable	NULL	Tedersoo L, et al. 2014. Science 346:e1256688 ((https://doi.org/10.1126/science.1256688))
ASV479	Ascomycota	Dothideomycetes	Mycosphaerellales	Mycosphaerellaceae	Ramularia	na	na	Mycosphaerellaceae	9	Pathotroph-Saprotroph	Plant Pathogen-Undefined Saprotroph	NULL	Microfungus	Probable	Biotrophic, necrotrophic or saprobic on various plant tissues (Cannon & Kirk 2007)	Cannon PF, Kirk PM. 2007. Fungal Families of the World. CAB International, Cambridge (ISBN: 978-0851998275)
ASV480	Ascomycota	Dothideomycetes	Pleosporales	Didymosphaeriaceae	Aporospora	na	na	Didymosphaeriaceae	9	Pathotroph-Saprotroph-Symbiotroph	Endophyte-Lichen Parasite-Plant Pathogen-Undefined Saprotroph	NULL	Microfungus	Probable	Saprobes in both woody and herbaceous material, also parasitic on other fungi (Cannon & Kirk 2007)	Cannon PF, Kirk PM. 2007. Fungal Families of the World. CAB International, Cambridge (ISBN: 978-0851998275); Massimo NC, et al. 2015. Microbial Ecology 70:61-76 ((https://doi.org/10.1007/s00248-014-0563-6))
ASV481	Ascomycota	Leotiomycetes	Helotiales	Helotiales_fam_Incertae_sedis	Chalara	na	na	Chalara	13	Pathotroph-Saprotroph-Symbiotroph	Endophyte-Plant Pathogen-Wood Saprotroph	Soft Rot	Microfungus	Probable	NULL	Duncan CG, Eslyn WE. 1966. Mycologia 58:642-645 ((https://doi.org/10.2307/3757045)); Tedersoo L, et al. 2014. Science 346:e1256688 ((https://doi.org/10.1126/science.1256688))
ASV482	Ascomycota	Sordariomycetes	Magnaporthales	Pyriculariaceae	Pyriculariaceae_gen_Incertae_sedis	na	na	na	na	na	na	na	na	na	na	na
ASV483	Chytridiomycota	Rhizophydiomycetes	Rhizophydiales	Rhizophydiaceae	Rhizophydiaceae_gen_Incertae_sedis	na	na	na	na	na	na	na	na	na	na	na
ASV484	Chytridiomycota	Rhizophlyctidomycetes	Rhizophlyctidales	Sonoraphlyctidaceae	Sonoraphlyctis	na	na	na	na	na	na	na	na	na	na	na
ASV485	Ascomycota	Dothideomycetes	Capnodiales	Capnodiaceae	Leptoxyphium	na	na	Leptoxyphium	13	Saprotroph	Undefined Saprotroph	NULL	Microfungus	Probable	NULL	Tedersoo L, et al. 2014. Science 346:e1256688 ((https://doi.org/10.1126/science.1256688))
ASV486	Mucoromycota	Mucoromycetes	Mucorales	Cunninghamellaceae	Gongronella	na	na	Gongronella	13	Saprotroph	Undefined Saprotroph	NULL	NULL	Probable	NULL	Tedersoo L, et al. 2014. Science 346:e1256688 ((https://doi.org/10.1126/science.1256688))
ASV487	Ascomycota	Leotiomycetes	Helotiales	Chaetomellaceae	Pilidium	na	na	Pilidium	13	Pathotroph	Plant Pathogen	NULL	NULL	Probable	NULL	Tedersoo L, et al. 2014. Science 346:e1256688 ((https://doi.org/10.1126/science.1256688))
ASV488	Basidiomycota	Tremellomycetes	Filobasidiales	Piskurozymaceae	Solicoccozyma	na	na	na	na	na	na	na	na	na	na	na
ASV489	Basidiomycota	Agaricomycetes	Agaricales	Agaricales_fam_Incertae_sedis	Agaricales_gen_Incertae_sedis	na	na	Agaricales	7	Pathotroph-Saprotroph-Symbiotroph	Bryophyte Parasite-Dung Saprotroph-Ectomycorrhizal-Fungal Parasite-Leaf Saprotroph-Plant Parasite-Undefined Saprotroph-Wood Saprotroph	NULL	Agaricoid-Gasteroid-Microfungus-Secotioid-Yeast	Possible	Mushrooms and toadstools, Gill fungi, Agarics... lignicolous, sometimes muscicolous or fungicolous, saprobic, mycorrhizal, rarely parasitic on plants or fungi (Kirk et al. 2008)	Kirk PM et al. 2008. Dictionary of the Fungi. Tenth Edition. CAB International, Wallingford (ISBN: 978-0851998268)
ASV490	Ascomycota	Sordariomycetes	Pisorisporiales	Pisorisporiales_fam_Incertae_sedis	Pisorisporiales_gen_Incertae_sedis	na	na	na	na	na	na	na	na	na	na	na
ASV491	Ascomycota	Dothideomycetes	Pleosporales	Pleosporales_fam_Incertae_sedis	Pteridiospora	na	na	na	na	na	na	na	na	na	na	na
ASV492	Ascomycota	Sordariomycetes	Hypocreales	Clavicipitaceae	Claviceps	na	na	Claviceps	13	Pathotroph	Plant Pathogen	NULL	Microfungus	Probable	NULL	Tedersoo L, et al. 2014. Science 346:e1256688 ((https://doi.org/10.1126/science.1256688))
ASV493	Basidiobolomycota	Basidiobolomycetes	Basidiobolales	Basidiobolaceae	Basidiobolus	na	na	Basidiobolus	13	Pathotroph-Saprotroph-Symbiotroph	Animal Endosymbiont-Animal Pathogen-Undefined Saprotroph	NULL	Microfungus	Probable	Basidiobolus ranarum is commonly present in decaying fruit and vegetable matter, and as a commensal in the intestinal tract of frogs, toads, and lizards - Cause of subcutaneous zygomycosis in humans (Cannon & Kirk 2007)	Cannon PF, Kirk PM. 2007. Fungal Families of the World. CAB International, Cambridge (ISBN: 978-0851998275); Tedersoo L, et al. 2014. Science 346:e1256688 ((https://doi.org/10.1126/science.1256688))
ASV494	Ascomycota	Dothideomycetes	Botryosphaeriales	Botryosphaeriaceae	Macrophomina	na	na	Macrophomina	13	Pathotroph	Plant Pathogen	NULL	Microfungus	Probable	NULL	Tedersoo L, et al. 2014. Science 346:e1256688 ((https://doi.org/10.1126/science.1256688))
ASV495	Ascomycota	Sordariomycetes	Chaetosphaeriales	Chaetosphaeriaceae	Thozetella	na	na	Thozetella	13	Saprotroph	Undefined Saprotroph	NULL	NULL	Probable	NULL	Tedersoo L, et al. 2014. Science 346:e1256688 ((https://doi.org/10.1126/science.1256688))
ASV496	Basidiomycota	Agaricomycetes	Agaricales	Tricholomataceae	Delicatula	na	na	Delicatula	13	Saprotroph	Undefined Saprotroph	NULL	Agaricoid	Possible	NULL	Fayod MV. 1889. Annales des Sciences Naturelles, Botanique 9:182-411 ((https://www.biodiversitylibrary.org/page/43164887))
ASV497	Ascomycota	Dothideomycetes	Minutisphaerales	Minutisphaeraceae	Minutisphaera	na	na	Minutisphaera	13	Saprotroph	Undefined Saprotroph	NULL	NULL	Probable	NULL	Tedersoo L, et al. 2014. Science 346:e1256688 ((https://doi.org/10.1126/science.1256688))
ASV498	Ascomycota	Sordariomycetes	Hypocreales	Ophiocordycipitaceae	Perennicordyceps	na	na	na	na	na	na	na	na	na	na	na
ASV499	Ascomycota	Dothideomycetes	Venturiales	Sympoventuriaceae	Veronaeopsis	na	na	Veronaeopsis	13	Saprotroph-Symbiotroph	Epiphyte-Undefined Saprotroph	NULL	NULL	Probable	NULL	Khastini R, et al. 2012. Journal of Microbiology 50:618-624 ((https://doi.org/10.1007/s12275-012-2105-6)); Tedersoo L, et al. 2014. Science 346:e1256688 ((https://doi.org/10.1126/science.1256688))
ASV500	Mucoromycota	Endogonomycetes	Endogonales	Endogonales_fam_Incertae_sedis	Endogonales_gen_Incertae_sedis	na	na	na	na	na	na	na	na	na	na	na
ASV501	Basidiomycota	Agaricomycetes	Agaricales	Lycoperdaceae	Holocotylon	na	na	Holocotylon	13	Saprotroph	Undefined Saprotroph	NULL	Gasteroid	Probable	Common name - puffball	Tedersoo L, et al. 2014. Science 346:e1256688 ((https://doi.org/10.1126/science.1256688))
ASV502	Ascomycota	Dothideomycetes	Dothideomycetes_ord_Incertae_sedis	Dothideomycetes_fam_Incertae_sedis	Radulidium	na	na	na	na	na	na	na	na	na	na	na
ASV503	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Phialomyces	na	na	na	na	na	na	na	na	na	na	na
ASV504	Ascomycota	Sordariomycetes	Hypocreales	Cordycipitaceae	Blackwellomyces	na	na	na	na	na	na	na	na	na	na	na
ASV505	Ascomycota	Orbiliomycetes	Orbiliales	Orbiliaceae	Orbilia	na	na	Orbilia	13	Saprotroph	Wood Saprotroph	NULL	Microfungus	Probable	Saprobic, found especially on wood in both wet and dry habitats. Many species are nematophagous, forming adhesive knobs, nets or ring-like traps in the presence of a food source; perhaps a strategy for life in low-nitrogen environments. There have been reports of associations with algae for a few species, but an established lichen association appears not to exist (Cannon & Kirk 2007)	Cannon PF, Kirk PM. 2007. Fungal Families of the World. CAB International, Cambridge (ISBN: 978-0851998275); Tedersoo L, et al. 2014. Science 346:e1256688 ((https://doi.org/10.1126/science.1256688))
ASV506	Ascomycota	Sordariomycetes	Distoseptisporales	Distoseptisporaceae	Distoseptisporaceae_gen_Incertae_sedis	na	na	na	na	na	na	na	na	na	na	na
ASV507	Basidiomycota	Agaricomycetes	Agaricales	Porotheleaceae	Porotheleum	na	na	Agaricales	7	Pathotroph-Saprotroph-Symbiotroph	Bryophyte Parasite-Dung Saprotroph-Ectomycorrhizal-Fungal Parasite-Leaf Saprotroph-Plant Parasite-Undefined Saprotroph-Wood Saprotroph	NULL	Agaricoid-Gasteroid-Microfungus-Secotioid-Yeast	Possible	Mushrooms and toadstools, Gill fungi, Agarics... lignicolous, sometimes muscicolous or fungicolous, saprobic, mycorrhizal, rarely parasitic on plants or fungi (Kirk et al. 2008)	Kirk PM et al. 2008. Dictionary of the Fungi. Tenth Edition. CAB International, Wallingford (ISBN: 978-0851998268)
ASV508	Chytridiomycota	Rhizophlyctidomycetes	Rhizophlyctidales	Rhizophlyctidaceae	Rhizophlyctidaceae_gen_Incertae_sedis	na	na	na	na	na	na	na	na	na	na	na
ASV509	Ascomycota	Dothideomycetes	Mycosphaerellales	Teratosphaeriaceae	Lapidomyces	na	na	Teratosphaeriaceae	9	Pathotroph-Saprotroph	Animal Pathogen-Plant Pathogen-Undefined Saprotroph	NULL	NULL	Probable	Includes numerous saprobic, extremophilic, human opportunistic, and plant pathogenic fungi (Quaedvlieg et al. 2014)	Quaedvlieg W, et al. 2014. Persoonia 3:31-40 ((https://doi.org/10.3767/003158514X681981))
ASV510	Ascomycota	Dothideomycetes	Pleosporales	Melanommataceae	Sporidesmiella	na	na	Sporidesmiella	13	Saprotroph	Undefined Saprotroph	NULL	NULL	Probable	NULL	Tedersoo L, et al. 2014. Science 346:e1256688 ((https://doi.org/10.1126/science.1256688))
ASV511	Ascomycota	Sordariomycetes	Hypocreales	Clavicipitaceae	Clavicipitaceae_gen_Incertae_sedis	na	na	Clavicipitaceae	9	Pathotroph-Symbiotroph	Endophyte-Epiphyte-Fungal Parasite-Insect Parasite	NULL	Microfungus	Possible	Parasitic, endophytic or epiphytic on Insecta, other fungi or Gamineae (Cannon & Kirk 2007)	Cannon PF, Kirk PM. 2007. Fungal Families of the World. CAB International, Cambridge (ISBN: 978-0851998275)
ASV512	Ascomycota	Dothideomycetes	Pleosporales	Pleosporales_fam_Incertae_sedis	Berkleasmium	na	na	Berkleasmium	13	Saprotroph	Wood Saprotroph	NULL	Microfungus	Possible	Isolated from dead wood and bark (Moore 1959)	Moore RT. 1959. Mycologia 51:734-739 ((https://doi.org/10.1080/00275514.1959.12024855))
ASV513	Ascomycota	Sordariomycetes	Xylariales	Xylariales_fam_Incertae_sedis	Neoidriella	na	na	na	na	na	na	na	na	na	na	na
ASV514	Ascomycota	Sordariomycetes	Hypocreales	Stachybotryaceae	Memnoniella	na	na	na	na	na	na	na	na	na	na	na
ASV515	Ascomycota	Saccharomycetes	Saccharomycetales	Debaryomycetaceae	Millerozyma	na	na	na	na	na	na	na	na	na	na	na
ASV516	Ascomycota	Dothideomycetes	Mycosphaerellales	Teratosphaeriaceae	Austroafricana	na	na	Austroafricana	13	Pathotroph-Symbiotroph	Endophyte-Undefined Saprotroph	NULL	Microfungus	Probable	On dead and living leaves (Quaedvlie et al. 2014)	Quaedvlie W, et al. 2014. Persoonia 3:31-40 ((https://doi.org/10.3767/003158514X681981))
ASV517	Basidiomycota	Agaricomycetes	Trechisporales	Hydnodontaceae	Hydnodontaceae_gen_Incertae_sedis	na	na	na	na	na	na	na	na	na	na	na
ASV518	Ascomycota	Dothideomycetes	Mycosphaerellales	Mycosphaerellaceae	Staninwardia	na	na	Mycosphaerellaceae	9	Pathotroph-Saprotroph	Plant Pathogen-Undefined Saprotroph	NULL	Microfungus	Probable	Biotrophic, necrotrophic or saprobic on various plant tissues (Cannon & Kirk 2007)	Cannon PF, Kirk PM. 2007. Fungal Families of the World. CAB International, Cambridge (ISBN: 978-0851998275)
ASV519	Basidiomycota	Agaricomycetes	Polyporales	Ganodermataceae	Ganoderma	na	na	Ganoderma	13	Pathotroph-Saprotroph	Plant Pathogen-Wood Saprotroph	White Rot	Polyporoid	Highly Probable	Lignicolous, causing sometimes agressive white rots of timber (Cannon & Kirk 2007)	Gilbertson RL, Ryvarden L. 1987-1987. North American Polypores. Fungiflora, Oslo (ISBN: 978-0945345060); Cannon PF, Kirk PM. 2007. Fungal Families of the World. CAB International, Cambridge (ISBN: 978-0851998275)
ASV520	Ascomycota	Dothideomycetes	Pleosporales	Pleosporales_fam_Incertae_sedis	Polyschema	na	na	na	na	na	na	na	na	na	na	na
ASV521	Basidiomycota	Agaricomycetes	Cantharellales	Hydnaceae	Minimedusa	na	na	na	na	na	na	na	na	na	na	na
