target	EEBR-OA.Prd	EEBR-OB.Prd	EEMAC-CN.Prd	EEMAC-CPL.Prd	EEMAC-N.Prd	GL-CN.Prd	GL-F.Prd	GL-NP.Prd	L-CN.Prd	L-RA.Prd	M-CN.Prd	M-RA.Prd	P-CN.Prd	P-RA.Prd	PP-CN.Prd	PP-PP.Prd	SA-CN.Prd	SA-RA.Prd	SUL-CN.Prd	SUL-F.Prd	SUL-LM.Prd	T-CN.Prd	T-NP.Prd	TT-CN.Prd	TT-LP.Prd	NA
k117_80700_1_GL-F	0.29362478731736313	0.25718659228343677	0.4037886606094903	0.08139995620552118	0.014723505353873947	0.469680654098532	0.3588180262976619	0.33756398637638485	0.2647978895728243	0.014662604003961617	0.24984641992006484	0.131996032832834	0.2932407573200844	0.022001927812435235	0.13216048212454015	0.22009411694561629	0.4838068241791736	0.2646556472083057	0.2573578200751914	0.32278211449291294	0.27399444617345314	0.6772896246182034	0.5198384472021779	0.47385244958580014	0.5913512485518093	0
k117_294979_1_GL-F	0.19924539139392497	0.28492975238398244	0.22773980116008358	0.20085703479284445	0.02854557160444949	0.42684625771071943	0.2555513640020832	0.28454816952756484	0.4278197195479304	0.14213748779350546	0.19945722598660637	0.05686903908897611	0.284263999442939	0	0.17081967077321517	0.14223769462471803	0.28424024920854357	0.0570119874938527	0.31363139589338196	0.22756438498572712	0.11485702101038299	0.31400517201686895	0.3406817072782309	0.36145319004872	0.28662432965521367	0
k117_311773_1_GL-F	0.523019152409053	0.3014427266698723	0.07133043488039548	0	0	0.19806313094531486	0.37945505563945686	0.19012991327523648	0.09528711935385722	0	0.05553070496218018	0.03958214368408848	0.14245502699356372	0	0.507282658659851	0.4039227259854207	0.3798483330332354	0.3015804565725958	0.5000930367370197	0.7840304201461379	0.5516073693694672	0.17484378896393835	0.22131406362960834	0.503159270238275	0.4229337409741988	0
k117_468709_3_GL-F	0.7819441775459697	1.403682232970902	0.5602184259669036	0.2349648331538935	0.08294373636009851	0.8681891807776521	0.6600404202317957	0.6990221070280932	1.160225553893507	0.17271045686607076	0.8881491572233793	0.6647239568985037	1.0775214620393667	0.26291611851337704	0.6467512063237455	0.7026005368443617	0.7695938822910565	0.3689643718941788	0.8736490341867105	0.5297312452380015	0.7433199661615352	0.9877967160873715	0.8624175294307418	0.9229559444011342	1.1735373497204031	0
k117_481439_4_GL-F	0.23683886146825042	0.5306144634018691	0.6015768332530509	0.19327752404594464	0	0.8230884441138778	0.3600220473991612	0.4960802049876791	0.5575109804423344	0.03754575149262408	0.22580063319238455	0.12017608260311931	0.30786327486839055	0.0338035009517199	0.28953397027283956	0.37572221221623625	0.5518551253501722	0.24848620964301837	0.49707617462347325	0.4433211839580438	0.493018344903059	0.7427326453023365	0.7499282864615145	0.6603908912525357	0.8025481230345982	0
k117_536617_2_GL-F	0.03169813044903351	0.02266486666690769	0.04076024850308314	0	0	0.049798730066250595	0.2439353929110794	0.00905380539405888	0.18603675683372123	0	0.004533118772422872	0.02261836781947913	0.08592525437707019	0	0.018117237809280397	0.0090514896579366	0.13113811497575983	0.027210266758429698	0.036287930103366506	0.03620342488409295	0.02284088486001934	0.013624191347839354	0	0.04791993049888334	0.027359595103452213	0
k117_558319_1_GL-F	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.045000881010148076	0.04496546475233021	0	0	0	0.044962318001212205	0	0	0	0	0	0
k117_579732_4_GL-F	0.1765465493363892	0.12371000641481768	0.01765704154563939	0.035594917558225594	0	0.2647527421243703	0.3346249224837405	0.1235443318328541	0.10614261396379032	0.017632245321219663	0.017673425087420817	0.035273201460251	0.03526312904482028	0.017638676305327824	0	0	0.3173416453189056	0.3359377237770688	0	0.017643441240982004	0.01781010768831888	0.28329120237195077	0.5458813432021443	0.056048121241731905	0.08888982375383209	0
k117_590164_2_GL-F	0.11548618227291192	0	0.17769506778414165	0.00895540919458542	0	0.3108455762097171	0.22155019172155124	0.15097364663468887	0.15132646555559492	0.02661682892438892	0.09782297070680694	0.026623403649934672	0.12420707236806124	0.026626536843074488	0.6397577478640161	0.13317796885244298	0.22177981228055146	0.10676130142160953	0.008898632541271405	0	0.0358470957293552	0.09800161419634762	0.16835173539067566	0	0.22364000243798518	0
k117_27133_1_GL-NP	1.434795835727517	1.19555869089394	0.4729854634725586	0.07272409880430573	0.016077390903655456	0.8574539958533723	1.8551136053484556	1.44236485932938	0.9557918715264299	0.024016334144419886	0.6740278671271526	0.4163859528698595	0.7444776123341799	0.09610037435316537	1.3389055229283713	1.0414415112177628	1.3047280864532396	0.9793610955122167	1.4613191162890178	1.786347726105632	1.5687224737423857	0.6109484120119225	0.8074874374137762	1.1111915837752557	1.751538216795337	0
k117_114173_1_GL-NP	0.19924539139392497	0.11967049600127262	0	0	0	0.11951695215900145	0.0795048688006481	0.07967348746771816	0.15971936196456069	0	0.039891445197321275	0.2786582915359829	0.03979695992201145	0.03981301223202566	0.11957376954125062	0.07965310898984208	0.11938090466758829	0.19954195622848445	0.11975016934110948	0.39823767372502245	0.12059987206090214	0.07992858924065754	0.07949239836492054	0.08433907767803468	0.04012740615172991	0
k117_208602_2_GL-NP	0.021707669101283654	0.08692020461830437	0.3256590541880572	0.1312995402536882	0.027212704447821496	0.2984048416421242	0.08120633486447519	0.21158426146582737	0.4839745257972826	0.07046037332643033	0.3639900349716669	0.23854017174286474	0.4173260972366571	0.05964206112579719	0.0868499493425426	0.09762929701089593	0.10838733238302438	0.07065493391747893	0.12503098095926474	0.2928673942958336	0.10401934490337213	0.027213041083881458	0.037890345524135276	0.13783039931818897	0.21312805212883784	0
k117_426840_2_GL-NP	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NA
k117_454540_2_GL-NP	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NA
